[2020-03-03T02:16:56+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:21:37+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:23:15+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:24:03+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:30:23+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:38:10+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:59:04+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:59:58+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T03:01:10+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T03:08:38+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T03:08:51+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T03:12:29+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T03:15:13+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T03:19:07+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T03:21:35+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T03:33:39+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T04:06:52+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T04:26:50+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T04:27:12+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T07:05:55+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T07:47:33+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T07:57:10+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T07:59:58+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:05:10+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:05:39+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:08:24+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:09:44+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:16:16+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:23:19+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:27:04+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:27:51+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:28:19+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:29:43+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:31:59+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:32:11+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:36:39+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:38:43+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:39:17+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:41:53+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:44:17+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:45:35+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:52:40+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:53:47+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:54:17+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:55:15+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:56:07+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:56:15+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:56:19+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:58:18+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T08:58:45+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:00:21+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:01:57+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:02:24+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:02:55+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:03:39+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:03:47+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:04:03+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:04:48+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:05:24+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:06:47+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:09:49+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:10:05+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:10:58+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:11:00+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:11:56+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:12:45+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T09:13:50+08:00][error] array_column() expects parameter 1 to be array, null given
